,youtube_features,youtube_featurs_No
464,came,11.7451063509666
465,love the,11.733937658304335
466,playing,11.674098429137423
467,look like,11.663228828432684
468,guess,11.624073907331997
469,whats,11.603886010279824
470,you get,11.597874872056742
471,12,11.596155225127353
472,how to,11.593218867338214
473,of this,11.579825930961668
474,the world,11.553332885795806
475,know what,11.543682230610411
476,understand,11.540143300456563
477,vs,11.434674627529322
478,should be,11.426340030984136
479,yea,11.406057094065151
480,yet,11.405449148969087
481,yourself,11.325181362541263
482,looking,11.275153439877077
483,crazy,11.27162936513523
484,english,11.24889574390057
485,really good,11.24640201988783
486,coming,11.19293551691696
487,dumb,11.180207377097737
488,thumbs up,11.177275741170222
489,sounds like,11.153132238242518
490,soo,11.139000981443358
491,all of,11.138727358223543
492,shes,11.103621234786598
493,remember,11.083051927512598
494,oh my,11.073534333266592
495,like you,11.05506557375886
496,views,11.02969042867468
497,laugh,11.02212620467693
498,cry,11.003223703614138
499,it up,10.98673598118005
500,days,10.983428136403349
501,my favorite,10.97194494315131
502,care,10.950691955717176
503,ugly,10.931994180729722
504,it just,10.914669978142097
505,holy,10.889698946097887
506,thanks for,10.884216995087858
507,but it,10.878408731692396
508,doesnt,10.808002882365917
509,com,10.80288332858414
510,you don,10.740862995802193
511,have been,10.740114740494434
512,what is,10.734381244652527
513,hit,10.717160957318269
514,are the,10.672900587450165
515,dick,10.663593375579083
516,almost,10.64696053674858
517,is just,10.592343845503574
518,needs,10.592015803095103
519,kind of,10.571987912392709
520,00,10.51212109172171
521,cuz,10.5020873217093
522,poor,10.467608338545867
523,started,10.465066007760807
524,watched,10.398306958731329
525,gets,10.397773449620006
526,love your,10.362057956382447
527,enough,10.356485339389204
528,fuckin,10.344033177087962
529,killed,10.329873537936749
530,story,10.32144347384983
531,reason,10.318502441293115
532,point,10.302787980301627
533,won,10.291179603381714
534,lil,10.230316593935202
535,that the,10.22702766976483
536,look at,10.219889048061633
537,least,10.193432450298674
538,sweet,10.187904005148003
539,win,10.187809373842958
540,made me,10.182323149190454
541,have the,10.173666893966779
542,not the,10.173322053740934
543,sooo,10.156021307596708
544,the hell,10.152206109708855
545,get the,10.13582605458752
546,band,10.135509042334816
547,is my,10.091062318293021
548,my life,10.065042762342287
549,may,10.063895651769345
550,mom,10.061211043565528
551,to go,10.060657679558842
552,for you,10.008511711601466
553,you do,10.006648447262204
554,good job,9.978799732438642
555,idea,9.965565826052046
556,epic,9.95531741454309
557,the most,9.954883350058472
558,word,9.936051233615501
559,what you,9.922799464998901
560,games,9.920255355459688
561,post,9.91754472719096
562,no one,9.90372700629607
563,died,9.85841011517534
564,your voice,9.849143477616845
565,btw,9.837887969842338
566,mother,9.833842481476626
567,heart,9.828332607703972
568,and he,9.819325185278467
569,leave,9.818185961581785
570,about the,9.80216444078887
571,it would,9.793743011222087
572,with you,9.774435503180264
573,might,9.769261713626777
574,america,9.763372260562516
575,30,9.755159747798597
576,mind,9.745128974178686
577,liked,9.73438522725784
578,bet,9.731717510251823
579,far,9.72184203032373
580,when he,9.704234514029782
581,full,9.70393724039628
582,for this,9.699869997087163
583,to have,9.693411743011746
584,second,9.683046198306537
585,like to,9.668384982942714
586,sucks,9.637339386791309
587,lmfao,9.63210860627331
588,found,9.625706972863572
589,idiot,9.619097750839204
590,family,9.617995057757403
591,left,9.617158750980845
592,by the,9.611014474929323
593,she was,9.608099839381858
594,you think,9.602550674384325
595,of them,9.600874024628457
596,this guy,9.582391619726687
597,few,9.578614148942554
598,soon,9.569973598794258
599,happened,9.550773176686283
600,don know,9.540174971802168
601,mine,9.533218761740889
602,of you,9.507407033870123
603,do it,9.497602305892134
604,buy,9.497328403022745
605,un,9.492449765440057
606,right now,9.487160940086431
607,and they,9.484738682588144
608,it and,9.476999293253145
609,makes me,9.473178367389218
610,it not,9.46194413852806
611,totally,9.45837816240706
612,having,9.44787474098613
613,myself,9.410619244157006
614,country,9.396788995750374
615,hilarious,9.386166432015697
616,it to,9.379800727695864
617,hi,9.368348081488556
618,nigga,9.360055332908214
619,mi,9.331908740209503
620,wat,9.328264304734075
621,number,9.322555728054663
622,the whole,9.299082517915542
623,bieber,9.296772004026533
624,the music,9.288872378301544
625,ago,9.282914278583528
626,je,9.280941170107065
627,get it,9.273710488572936
628,original,9.262031525549968
629,enjoy,9.24780859412324
630,dad,9.240457545800188
631,wanted,9.230784218872726
632,goes,9.229457087524253
633,at least,9.228619398590098
634,free,9.216285874768577
635,15,9.200958893888483
636,you dont,9.193186685079608
637,you were,9.190433236067523
638,ich,9.182392504160848
639,dog,9.167063468844962
640,you and,9.156212819914135
641,style,9.154104686494009
642,at all,9.148606047025238
643,together,9.1373901998182
644,likes,9.131678903466865
645,vids,9.126474449333775
646,up the,9.120213664690398
647,fuck you,9.119059963132694
648,and my,9.11452173629773
649,11,9.113859906724146
650,car,9.105544415581724
651,talent,9.088743886590077
652,te,9.076266857837329
653,people are,9.033079453485165
654,si,9.031832498181847
655,me and,8.98117785924364
656,to my,8.978145180475703
657,you just,8.977495792005053
658,rock,8.968715470735242
659,mad,8.924534879095058
660,problem,8.918158164332713
661,on youtube,8.917460007707687
662,the other,8.916794831161315
663,ill,8.900330170529289
664,its not,8.900161760925053
665,had to,8.89361690833958
666,ive,8.892375682762596
667,and then,8.875506138255373
668,brother,8.871637527216178
669,alot,8.868292695794189
670,half,8.867116049265439
671,of your,8.861992627847881
672,house,8.849248252738631
673,words,8.815953286748739
674,but you,8.802870754738464
675,fact,8.799737651664596
676,em,8.794334577438047
677,weird,8.789728966203493
678,crap,8.783885474947855
679,okay,8.776421111881989
680,would have,8.768428445517111
681,to you,8.75725792046597
682,on this,8.738721633517246
683,matter,8.738540273671502
684,there are,8.722862015852
685,the time,8.711900105419529
686,eat,8.706400389303917
687,today,8.6898984557562
688,up and,8.669799375093454
689,up if,8.660820646981733
690,learn,8.654429624203981
691,respect,8.652327072232984
692,the game,8.629676354269607
693,tell me,8.622837087345873
694,the guy,8.61384253336744
695,but the,8.609855237141117
696,singer,8.608188339522242
697,wasn,8.605745881782864
698,you look,8.594152960785642
699,dat,8.592855865450709
700,laughing,8.588147816156043
701,joke,8.576480035938348
702,13,8.568012272497642
703,american,8.528939117032744
704,how do,8.523842361066633
705,hahahaha,8.5046784333599
706,it so,8.501926399553884
707,in your,8.501367873956296
708,cat,8.498350052472528
709,keep it,8.495939857317424
710,try to,8.483940094134143
711,for me,8.47036296392625
712,night,8.439778341605578
713,can see,8.423035054519806
714,lost,8.369800157605008
715,do that,8.361514654706806
716,shut up,8.3545716220022
717,lot of,8.340206662650134
718,if it,8.32509659636472
719,live in,8.31457608440082
720,gun,8.298722790490752
721,run,8.286380632687829
722,opinion,8.284641297530674
723,be the,8.272531215295487
724,once,8.26213354787908
725,obviously,8.258526798074922
726,using,8.257526421506906
727,back to,8.250609464457082
728,think you,8.245715212393057
729,seems,8.232419863958334
730,used to,8.220397464111672
731,ppl,8.211059928662365
732,woman,8.207835679881862
733,knew,8.200502740449506
734,adorable,8.193654554411221
735,glad,8.165567430541977
736,is amazing,8.152809799127347
737,either,8.151547304792292
738,she has,8.149037848290021
739,turn,8.136132589761443
740,guys are,8.133612131217582
741,lo,8.129150577797425
742,red,8.11619721034928
743,video is,8.1152547529069
744,if they,8.103757047188225
745,change,8.102632712993884
746,my god,8.0936453215346
747,est,8.077816388839567
748,33,8.076978674621849
749,scared,8.035275970081017
750,because of,8.031971108085084
751,birthday,8.024958980362495
752,50,8.019336944921358
753,finally,8.008859643292226
754,make it,8.008374247091897
755,wouldn,7.99977856580403
756,forever,7.997651463339999
757,you will,7.983160322565389
758,shot,7.976718686718564
759,name is,7.973722034718321
760,he has,7.971702377939798
761,why is,7.964343494751604
762,took,7.957743987411323
763,you want,7.951187463280901
764,voice is,7.94050399990942
765,and your,7.91143284773049
766,son,7.9026089643293975
767,my friend,7.8985463845660275
768,instead,7.872481523677568
769,when they,7.858372575260858
770,played,7.857902730141634
771,40,7.853848394056078
772,year old,7.852378200307398
773,luv,7.851818100775284
774,ps3,7.846330481158773
775,me to,7.845820863960714
776,great job,7.842816415664675
777,with this,7.83417389200202
778,just like,7.823463143687839
779,they were,7.8231147326465145
780,this shit,7.808226446948329
781,have no,7.803270616971394
782,home,7.773443168172353
783,how much,7.772750697711506
784,haters,7.764209890771502
785,2012,7.7576081568299635
786,wonder,7.719794249166847
787,people who,7.718236143390889
788,du,7.712498790615121
789,they have,7.712043112884918
790,soooo,7.7006306043665695
791,me of,7.692909367930221
792,camera,7.692438273993067
793,fans,7.690612169622362
794,exactly,7.689027364622733
795,that he,7.682969857214598
796,is really,7.680376264085867
797,and have,7.679995923589882
798,100,7.675087103223036
799,im not,7.667957473245886
800,each,7.650500315486084
801,place,7.64396384884775
802,death,7.6126780018167945
803,see the,7.6023749681251855
804,but this,7.597111141028276
805,can do,7.597014850624824
806,los,7.5968999284910295
807,should have,7.593668765717825
808,aww,7.587920449337914
809,xbox,7.580146728164258
810,body,7.5657813691367695
811,know that,7.565766782856786
812,fucked,7.548887857404565
813,young,7.548267011451319
814,dislike,7.528934231508434
815,this game,7.520833968479583
816,guitar,7.51870064314941
817,rap,7.494405464409846
818,ones,7.493195317258367
819,looked,7.465147948922648
820,justin bieber,7.453629181491567
821,harry,7.451873348826391
822,check out,7.445245643046794
823,you need,7.436595288048473
824,talking about,7.432082462424854
825,it on,7.419639802943054
826,watching this,7.416909145892005
827,gotta,7.414687131678607
828,ask,7.406403712079316
829,le,7.396569827196391
830,wont,7.395189055078378
831,this one,7.393563882207697
832,you to,7.391425421347502
833,it the,7.3833379739465546
834,so you,7.354607842752751
835,on your,7.353227191952944
836,more than,7.348168045374735
837,human,7.345988510994846
838,16,7.343781187904027
839,about it,7.33689325657189
840,are not,7.336647291764932
841,tried,7.335176400049975
842,agree with,7.331033445706552
843,say that,7.320840012350631
844,happen,7.319147003663398
845,you so,7.311303908446784
846,the one,7.308638932219239
847,stay,7.294995886757304
848,you like,7.293077674405136
849,war,7.291634647336719
850,add,7.261065162357111
851,if he,7.253294072955601
852,team,7.250913185395582
853,so funny,7.247240805885632
854,child,7.2428059710421655
855,told,7.237333736413066
856,comes,7.233950871779353
857,the girl,7.225172679807139
858,lets,7.214474889329584
859,means,7.209751307176909
860,mouth,7.206268042852879
861,who is,7.192526291741331
862,fight,7.191986958232171
863,crying,7.181717815221705
864,listening,7.179792305756803
865,question,7.179376487513809
866,fast,7.1722677684489815
867,and if,7.172076258426494
868,you for,7.163208447552688
869,and this,7.1461208132621525
870,with my,7.134940090312091
871,lady,7.131178282211294
872,self,7.119991860920262
873,jesus,7.119741012047867
874,it in,7.106047616050281
875,in love,7.104903205132963
876,alone,7.097829382180252
877,yall,7.088627647367047
878,do this,7.079473291609851
879,let me,7.073965524145651
880,horrible,7.062112772411685
881,can be,7.06068216873593
882,shirt,7.05637488315899
883,album,7.026450632432696
884,anymore,7.010284410246608
885,thinking,7.00485114167038
886,bring,6.999141489446751
887,annoying,6.991767421735591
888,the people,6.990172041779872
889,isnt,6.979571387643073
890,wants,6.962789611419657
891,blue,6.9606441031442206
892,lyrics,6.95956461875064
893,love how,6.952039647125138
894,why do,6.951574244669786
895,straight,6.950934623548007
896,think it,6.9455526308538325
897,hand,6.94267313676624
898,rest,6.939568763168043
899,sound like,6.92919875256148
900,of these,6.924065974597925
901,cut,6.921069380450324
902,love to,6.912955391693886
903,por,6.9100266157612
904,know how,6.902982408882686
905,sex,6.8956040190242645
906,reminds,6.889929687111633
907,your videos,6.886804354238835
908,was like,6.883841359936339
909,and that,6.880986106908008
910,close,6.880422473210759
911,mas,6.875692922416135
912,so good,6.870513741684173
913,episode,6.869462370990831
914,think that,6.862620884498497
915,plus,6.860847566851697
916,na,6.853676623820227
917,how the,6.8465616909776585
918,tho,6.841573582005455
919,was so,6.837615801851605
920,ma,6.826488635763257
921,you could,6.82579678279367
922,link,6.825018064936022
923,how did,6.821457767123022
924,faggot,6.819635701680881
925,way to,6.813788250376416
926,do the,6.800166651222566
927,hat,6.79993249347442
928,and she,6.798037162934499
929,it like,6.785530680858409
930,some of,6.783046633149187
931,needs to,6.7825637826058465
932,internet,6.781011355722763
933,side,6.779138705554317
934,parents,6.774696101215397
935,as well,6.772422278691105
936,fire,6.760151270899675
937,brought,6.7557643383524795
938,wearing,6.748232838871007
939,moment,6.747677059724188
940,behind,6.7411699801657585
941,green,6.735253725079751
942,against,6.730817268361891
943,you make,6.72721915836514
944,proud,6.7230337866184735
945,screen,6.720544380487698
946,to play,6.718060893187805
947,so many,6.71733525969483
948,14,6.715822660993884
949,hahah,6.712961567097769
950,make me,6.709480706414675
951,esta,6.705246728278846
952,to watch,6.701941181896407
953,easy,6.700604404667865
954,con,6.6973578711517305
955,of all,6.69310290976666
956,lucky,6.688498403086827
957,that it,6.684438854126762
958,notice,6.681664016053247
959,is awesome,6.672341694342886
960,couldn,6.665686381095775
961,it will,6.659612218802517
962,not to,6.659529272666328
963,ist,6.657111879606851
964,when she,6.653400083126827
965,up with,6.653241896427005
966,we are,6.653009808198903
967,reminds me,6.650382012924806
968,of that,6.64824981141318
969,and im,6.643381440031508
970,boys,6.641230642059872
971,shut the,6.63828227461508
972,sense,6.632326402248304
973,small,6.622652191012053
974,bitches,6.608892216650347
975,you would,6.607854479406531
976,only one,6.6061404077278185
977,police,6.594188099700176
978,direction,6.592283517145933
979,17,6.592016042822495
980,men,6.586748215379469
981,type,6.581447773308006
982,love her,6.572437869301463
983,gorgeous,6.569037493525552
984,group,6.559281672105767
985,theres,6.55736634956292
986,on it,6.5549528955765215
987,definitely,6.552042646222007
988,hurt,6.547695376763766
989,week,6.537374291184296
990,is an,6.531718299802923
991,18,6.521323590475882
992,yay,6.520130945670433
993,party,6.513569915790629
994,power,6.509495800904952
995,that they,6.506422131213937
996,das,6.5044950596778826
997,minecraft,6.5026851838382616
998,idk,6.499740369227756
999,dont know,6.493295599416297
1000,he said,6.488977327114386
1001,subscribe,6.4884244813691785
1002,honestly,6.485482986530388
1003,is in,6.484071354149866
1004,seeing,6.483662440208529
1005,of it,6.480087241726837
1006,smile,6.473161821317957
1007,until,6.469345387309202
1008,under,6.465675994308436
1009,everybody,6.465409799865829
1010,5555,6.460890533784356
1011,for it,6.442633179667505
1012,or something,6.437102559229115
1013,anyway,6.432807742386629
1014,the original,6.432097534233125
1015,fuck up,6.427876315404238
1016,haven,6.425388643615274
1017,is what,6.420965653609549
1018,was just,6.41736391309082
1019,knows,6.415402673541728
1020,line,6.408939037596012
1021,you got,6.387065955516824
1022,instead of,6.382209893590101
1023,worst,6.376866347940326
1024,tht,6.3735338720373
1025,children,6.372732715946834
1026,um,6.36545726395831
1027,plz,6.363990855325035
1028,beginning,6.348834169660501
1029,million,6.343463825988923
1030,and love,6.3372222179354205
1031,fighting,6.3325479897182015
1032,ve been,6.330477697146051
1033,don like,6.315043254730011
1034,because it,6.312017860811612
1035,women,6.301048806612544
1036,move,6.290608467832074
1037,pussy,6.288414167957534
1038,can get,6.269727516901681
1039,do not,6.2680969381617055
1040,level,6.2661995945022175
1041,up to,6.262577026496866
1042,able,6.260735683637805
1043,is better,6.2437849828247955
1044,course,6.23212623612165
1045,fine,6.228435949636009
1046,because you,6.209276898816452
1047,others,6.207049365351659
1048,must be,6.205334369746341
1049,water,6.195846726306067
1050,nobody,6.193149414901874
1051,song and,6.192663626948305
1052,break,6.1897370865208385
1053,to know,6.188411403965614
1054,what they,6.188166519159418
1055,rather,6.1863350765139495
1056,to it,6.183461665090821
1057,than the,6.177250144884499
1058,ja,6.174465737385176
1059,racist,6.1740666105001125
1060,scary,6.170734682749913
1061,kiss,6.169563679331924
1062,luck,6.167065298801583
1063,single,6.16167879394182
1064,freaking,6.1555382753921215
1065,to your,6.152251986820895
1066,out my,6.15220415186469
1067,talented,6.144473401908368
1068,guy is,6.141027407513305
1069,would like,6.133088016477475
1070,can wait,6.129560833488589
1071,simple,6.123711161191152
1072,is good,6.120720394100771
1073,with that,6.119715868871075
